MEMSIZE 40
PROCSIZE 1 17
PROCSIZE 2 25
PROCSIZE 3 39
PROCSIZE 4 22
WRITE 1 2
READ 9 1
WRITE 16 3
READ 23 3
READ 13 1
READ 23 2
READ 4 2
WRITE 16 2
READ 5 1
READ 16 2
READ 21 3
WRITE 2 3
WRITE 8 1
READ 5 3
WRITE 3 3
WRITE 5 4
WRITE 30 3
WRITE 34 3
WRITE 3 2
WRITE 4 2
WRITE 13 1
WRITE 13 3
WRITE 36 3
READ 15 1
WRITE 20 2
WRITE 19 3
READ 8 2
READ 18 3
WRITE 12 2
WRITE 23 2
WRITE 25 3
WRITE 2 4
WRITE 13 4
READ 13 4
READ 12 1
READ 4 4
READ 12 2
WRITE 7 1
WRITE 9 1
READ 25 3
WRITE 16 4
WRITE 23 2
WRITE 25 2
WRITE 13 3
READ 12 1
WRITE 30 3
READ 17 2
WRITE 15 4
READ 1 3
WRITE 13 2
WRITE 18 2
READ 4 4
READ 25 2
READ 34 3
READ 19 3
WRITE 18 3
WRITE 1 4
READ 16 1
READ 37 3
WRITE 5 3
READ 2 2
WRITE 22 4
WRITE 6 3
WRITE 36 3
READ 8 4
READ 5 3
WRITE 5 1
READ 14 3
READ 15 1
READ 17 2
WRITE 18 4
WRITE 20 4
READ 6 4
WRITE 12 3
READ 3 2
READ 14 4
WRITE 24 2
WRITE 11 1
READ 4 1
WRITE 17 4
READ 6 2
WRITE 25 2
WRITE 13 1
WRITE 4 1
READ 13 2
WRITE 3 1
WRITE 16 1
READ 17 4
WRITE 22 2
WRITE 22 3
WRITE 20 4
READ 15 3
WRITE 4 4
WRITE 21 3
READ 14 1
READ 18 2
WRITE 14 1
READ 21 2
WRITE 12 2
READ 12 1
WRITE 9 3
READ 17 1
WRITE 9 3
WRITE 4 1
WRITE 12 2
WRITE 5 4
WRITE 13 2
WRITE 8 1
READ 10 2
READ 17 1
WRITE 8 1
WRITE 2 3
WRITE 29 3
WRITE 15 3
WRITE 16 1
READ 2 3
READ 27 3
WRITE 33 3
WRITE 10 4
READ 10 1
READ 3 3
READ 9 2
WRITE 3 2
READ 23 2
READ 13 1
READ 19 4
READ 32 3
READ 13 4
WRITE 10 3
WRITE 16 4
WRITE 23 2
READ 13 1
WRITE 35 3
READ 7 1
READ 21 2
READ 16 3
WRITE 19 2
WRITE 4 2
READ 16 2
READ 18 2
WRITE 24 2
WRITE 17 4
WRITE 22 2
WRITE 20 3
WRITE 15 2
WRITE 8 2
READ 7 2
READ 10 3
READ 2 4
READ 8 1
WRITE 22 3
WRITE 6 2
WRITE 2 2
READ 22 4
READ 1 1
READ 6 4
READ 12 2
WRITE 7 1
WRITE 15 1
WRITE 17 4
WRITE 15 1
READ 7 1
READ 7 2
WRITE 25 2
READ 12 2
READ 37 3
READ 20 4
READ 27 3
READ 16 2
WRITE 27 3
WRITE 15 1
READ 20 4
WRITE 31 3
READ 4 1
READ 17 4
READ 1 3
READ 5 3
READ 21 2
READ 13 2
READ 22 3
READ 12 4
READ 11 2
WRITE 5 1
READ 16 4
WRITE 2 4
WRITE 14 1
READ 17 2
READ 16 1
WRITE 24 2
WRITE 13 2
WRITE 10 4
WRITE 15 4
READ 14 4
WRITE 14 1
READ 19 4
READ 2 2
READ 18 2
WRITE 4 3
READ 17 1
WRITE 35 3
READ 25 2
READ 22 2
READ 22 3
WRITE 20 3
WRITE 22 2
WRITE 2 1
WRITE 25 2
READ 7 4
READ 29 3
WRITE 2 3
READ 3 1
READ 3 4
WRITE 6 3
WRITE 6 2
READ 2 2
WRITE 22 4
READ 13 2
READ 13 4
WRITE 32 3
WRITE 7 1
WRITE 14 1
READ 25 3
WRITE 6 1
WRITE 23 2
WRITE 21 3
WRITE 14 1
READ 17 4
READ 10 4
WRITE 15 3
READ 13 3
READ 19 3
READ 5 1
WRITE 20 4
READ 10 1
READ 11 2
READ 17 1
READ 9 1
WRITE 6 2
WRITE 17 4
WRITE 9 4
WRITE 5 2
READ 7 2
READ 5 2
WRITE 18 4
READ 12 4
WRITE 6 1
READ 4 1
READ 1 1
READ 14 4
READ 7 1
WRITE 11 4
WRITE 5 1
WRITE 19 4
WRITE 10 2
READ 5 4
WRITE 14 1
READ 2 4
WRITE 17 4
WRITE 17 1
READ 10 2
READ 22 2
READ 18 4
WRITE 8 1
WRITE 14 4
WRITE 15 2
READ 10 1
READ 39 3
READ 9 1
READ 22 4
WRITE 13 2
WRITE 8 1
READ 3 4
WRITE 6 1
READ 21 2
READ 4 1
WRITE 22 3
READ 2 1
READ 31 3
READ 5 1
WRITE 15 3
READ 27 3
READ 21 3
WRITE 1 1
READ 13 2
WRITE 20 2
WRITE 1 1
WRITE 6 3
ENDPROC 1
ENDPROC 2
ENDPROC 3
ENDPROC 4
