MEMSIZE 40
PROCSIZE 1 30
PROCSIZE 2 19
PROCSIZE 3 11
PROCSIZE 4 22
WRITE 3 1
WRITE 6 3
READ 15 2
READ 2 3
WRITE 12 4
WRITE 6 3
READ 7 3
WRITE 10 3
READ 19 1
WRITE 10 1
READ 15 4
WRITE 4 1
READ 15 2
WRITE 7 3
WRITE 24 1
WRITE 1 1
READ 5 2
READ 7 3
WRITE 10 4
WRITE 10 4
READ 2 2
WRITE 6 4
READ 5 3
WRITE 12 1
WRITE 9 2
WRITE 3 1
READ 17 2
READ 4 3
WRITE 14 1
READ 1 1
READ 17 1
READ 22 4
WRITE 3 2
READ 17 4
WRITE 6 3
WRITE 1 3
READ 2 3
WRITE 13 4
READ 19 2
READ 9 2
WRITE 2 2
READ 14 4
READ 30 1
WRITE 2 2
WRITE 11 3
READ 13 4
WRITE 10 3
READ 2 4
READ 6 4
WRITE 7 1
READ 2 3
READ 22 4
WRITE 2 4
WRITE 6 3
WRITE 18 4
READ 18 1
READ 18 1
WRITE 10 2
WRITE 12 4
READ 2 3
READ 6 1
WRITE 6 2
READ 15 4
READ 17 4
WRITE 19 4
READ 13 4
WRITE 3 1
READ 3 3
WRITE 20 1
WRITE 3 3
READ 19 4
WRITE 9 3
WRITE 12 2
WRITE 15 2
READ 17 1
WRITE 10 1
READ 2 3
READ 13 4
WRITE 4 3
WRITE 12 4
WRITE 7 2
WRITE 10 2
READ 17 2
READ 16 2
READ 9 1
READ 7 1
WRITE 11 3
WRITE 9 3
WRITE 17 2
READ 15 4
READ 5 3
WRITE 1 3
READ 8 3
READ 10 3
WRITE 4 1
READ 13 2
WRITE 11 3
READ 2 3
READ 11 1
READ 20 4
READ 10 3
READ 18 4
WRITE 18 4
WRITE 5 4
READ 1 2
WRITE 7 3
WRITE 2 4
READ 18 4
READ 7 1
READ 2 3
READ 5 2
READ 9 3
READ 3 2
WRITE 13 1
READ 9 4
WRITE 5 3
WRITE 6 2
READ 11 3
WRITE 4 3
READ 8 3
WRITE 14 2
WRITE 4 3
READ 18 1
READ 19 1
READ 2 4
WRITE 6 2
READ 3 3
WRITE 7 2
WRITE 15 2
READ 22 4
READ 20 1
WRITE 10 2
WRITE 6 3
READ 10 1
WRITE 1 3
WRITE 6 4
READ 19 1
WRITE 9 1
READ 6 3
READ 5 3
READ 2 3
READ 9 2
WRITE 2 3
READ 13 2
READ 5 2
READ 5 2
READ 13 4
READ 12 2
READ 2 3
READ 11 1
WRITE 1 3
READ 18 2
READ 8 2
WRITE 7 4
WRITE 3 4
WRITE 19 4
WRITE 3 2
WRITE 15 2
READ 5 2
WRITE 17 2
WRITE 2 1
WRITE 1 3
WRITE 7 3
READ 7 4
READ 4 1
READ 1 3
WRITE 1 4
WRITE 28 1
READ 13 2
READ 13 1
WRITE 3 3
READ 4 4
READ 9 2
WRITE 12 2
READ 7 2
READ 25 1
WRITE 14 4
WRITE 2 1
READ 7 3
READ 11 4
WRITE 4 3
READ 12 1
READ 12 2
WRITE 9 1
READ 3 4
WRITE 16 1
WRITE 3 4
WRITE 14 2
READ 21 4
READ 13 4
READ 19 4
READ 11 3
READ 3 1
READ 4 2
READ 8 3
READ 16 4
READ 9 2
WRITE 5 3
WRITE 25 1
READ 5 3
WRITE 2 3
WRITE 11 3
WRITE 17 2
READ 15 4
WRITE 11 1
READ 12 4
READ 1 3
WRITE 7 2
WRITE 6 1
READ 4 3
READ 3 3
WRITE 17 2
READ 16 2
READ 5 3
READ 5 3
WRITE 5 2
READ 11 1
WRITE 8 4
READ 18 2
READ 15 2
READ 17 2
READ 5 3
WRITE 7 3
ENDPROC 1
ENDPROC 2
ENDPROC 3
ENDPROC 4
